cluster_id,name_canonical,articles,orcid,institutions,countries,name_variants,first_year,last_year
805,"Guato Canchinia, Diego Eduardo",1,,,,"Guato Canchinia, Diego Eduardo",2023,2023
198,Andrea Carolina Vela Chiriboga,1,,,,Andrea Carolina Vela Chiriboga,2025,2025
199,Kevin Marcelo Lozada Escobar,1,,,,Kevin Marcelo Lozada Escobar,2025,2025
200,Paúl Sebastián Bedoya Lozada,1,,,,Paúl Sebastián Bedoya Lozada,2025,2025
201,Ángel Raúl Zabala Yubaille,1,,,,Ángel Raúl Zabala Yubaille,2025,2025
202,Jhael Mikaela Gómez Ashqui,1,,,,Jhael Mikaela Gómez Ashqui,2025,2025
204,Emilio Micael Álvarez Medina,1,,,,Emilio Micael Álvarez Medina,2025,2025
205,Fosther Mateo Álvarez Yanza,1,,,,Fosther Mateo Álvarez Yanza,2025,2025
845,Pablo Mariano Ojeda Sotomayor,1,,,,Pablo Mariano Ojeda Sotomayor,2023,2023
850,Manuel Augusto Suárez Albiño,1,0000-0002-9257-273X,,,Manuel Augusto Suárez Albiño,2023,2023
182,Jhon Jairo Naranjo Mejía,1,,,,Jhon Jairo Naranjo Mejía,2025,2025
183,Angie Pamela Supe Amaguaña,1,,,,Angie Pamela Supe Amaguaña,2025,2025
185,Brenedy Fernando Camino Garcés,1,,,,Brenedy Fernando Camino Garcés,2025,2025
186,Karla Stephanie Moreira Velasco,1,,,,Karla Stephanie Moreira Velasco,2025,2025
187,Lesly Gissela Tipanguano Chicaiza,1,,,,Lesly Gissela Tipanguano Chicaiza,2025,2025
188,Mishell Stephany Núñez Hernández,1,,,,Mishell Stephany Núñez Hernández,2025,2025
189,Evelyn Nathaly Sánchez Rosero,1,,,,Evelyn Nathaly Sánchez Rosero,2025,2025
191,Joselin Nayeli Bonilla Espinoza,1,,,,Joselin Nayeli Bonilla Espinoza,2025,2025
192,Mauricio Fernando Enrríquez Grijalva,1,,,,Mauricio Fernando Enrríquez Grijalva,2025,2025
193,Katheryn Mishel Guamushig Jaque,1,,,,Katheryn Mishel Guamushig Jaque,2025,2025
194,Karely Nicole Gualotuña Piñataxi,1,,,,Karely Nicole Gualotuña Piñataxi,2025,2025
